STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170308,-9999,-9999,0.11,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170309,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170310,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170311,-9999,-9999,0.11,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170312,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170313,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170316,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170317,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170318,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170319,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170320,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170321,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170322,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170323,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170324,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170403,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
